Class,Sequence,Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
0,0,8.657391724,8.484873768,164.9470085,176.3668033,91.33337546,87.1252554,179.506056,179.9830623
0,0,7.976175094,8.616362149,172.5246296,171.931415,92.38752291,86.35932728,179.7015917,179.3259572
0,0,7.558482886,8.90722167,167.3547914,171.7587275,92.31339249,86.79437526,179.9550107,178.9215993
0,0,9.036395178,13.85829492,60.39756569,68.58959688,92.37429816,87.10005843,179.6407058,179.0896738
0,0,9.799820222,15.39678202,48.3060797,65.60051481,91.5780651,87.97506337,179.4933291,179.1323412
0,0,12.19574936,14.7075274,43.80365448,35.98250887,91.3169355,88.2587254,179.6420116,178.6853176
0,0,12.85019634,13.94708064,43.54048296,29.49316112,90.68527968,89.02682659,179.7191669,178.1339406
0,0,13.14893832,7.399344085,27.29787349,11.09960563,91.75246233,88.00077774,179.25992,178.3764395
0,0,12.46878578,5.976232674,23.98022263,7.696358333,91.71971456,88.07827816,179.364183,178.2571402
0,0,12.50248502,5.941758059,22.71604647,7.560691244,91.17945724,88.51474729,179.1751862,178.241427
0,0,12.21515203,5.947039904,23.10646273,7.954520462,90.67172861,88.93042011,178.9260387,179.1672068
0,0,14.052544,8.041293276,25.18602052,10.44643396,88.79128116,90.74169311,178.7887655,179.3141482
0,0,15.25354458,8.199455649,25.32086301,9.677450249,86.65857293,92.82015584,178.6040741,179.4395831
0,0,12.62378411,7.892674984,14.73176795,5.326024248,87.08611105,92.41933403,178.4890158,179.2248149
0,0,11.3810385,8.110293884,13.3389064,5.718570293,86.30545017,93.18036264,178.3940266,179.5016355
0,0,10.45245102,7.936444574,12.74976981,6.173327287,87.18672255,92.18169859,178.5399597,179.6978215
0,0,8.922960493,7.925673231,12.01379566,6.057906201,86.59210383,92.67119642,178.4671282,179.8683452
0,0,8.80633632,7.925265025,10.15319085,5.826163916,86.52948631,92.71973804,178.5284315,179.87125
0,0,8.937090168,7.971908735,10.78080292,6.810056275,86.43632465,92.75649189,178.7231424,179.7204475
0,0,9.134017108,7.981772481,11.59707878,6.772359925,86.68141283,92.49832435,178.5958582,179.5810619
0,0,9.024733889,7.945678425,11.08505172,6.755174644,86.84503887,92.31825034,178.5784197,179.3835323
