Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
Nested Sequence 11.mp4,1.1767482324891776,27.72295295141034,162.71980842669748,172.5426525879301,98.27003773971673,87.25199504464483,162.50192283562777,170.83698243202957
Nested Sequence 11.mp4,1.435193983050853,27.096817304949234,162.92683304537155,173.77656338089463,100.11251214635911,85.10928341842778,163.5077385598976,169.26701778740326
Nested Sequence 11.mp4,1.7835525707369662,26.850684521288134,162.92709242049,173.67316744360957,101.0650112386574,83.54931729450314,173.93914927332602,169.64769946497344
Nested Sequence 11.mp4,1.8899246171305326,26.83572225046302,162.63696660629213,173.67316572054736,101.6737651142011,82.53625175599115,173.46855677098557,168.46936902475497
Nested Sequence 11.mp4,1.9250379286798702,26.78533891737862,162.7904076177068,173.4958926402691,101.49677814071151,81.72464779561251,173.43188661350297,167.18417550898042
Nested Sequence 11.mp4,1.87165913765613,26.85107899769896,162.96428215666637,173.24738568054164,101.43025418989765,81.07816780541192,172.52672430704916,166.95668029854355
Nested Sequence 11.mp4,1.842391521583553,26.79961285589714,162.88727922808252,173.26020103643083,101.26913073599809,81.1091970181489,167.34448698808546,167.00191947437318
Nested Sequence 11.mp4,1.947115956160241,26.8775820278533,162.92097194186331,173.08614753397654,98.95753378368335,81.35013964102603,162.48658377781888,166.54854749723717
Nested Sequence 11.mp4,1.9776998056752142,27.003301035495156,163.1166644564651,172.8226697081092,98.04667984487287,81.94080335138385,161.78531043441868,167.1872475975958
Nested Sequence 11.mp4,2.1116969436392874,26.95160533679853,163.14487537865728,172.21257770387493,96.87816809587287,83.56725513513796,164.55821295276195,168.16026670553455
Nested Sequence 11.mp4,4.394310213201716,27.120486421964436,162.1741878866278,172.07540286520202,95.22143143224241,84.94585811350046,166.1554304878201,168.19819177589855
Nested Sequence 11.mp4,6.079916045568547,27.015622438435216,160.93394383358086,172.01237561039892,95.1845835209767,85.80747539723636,164.76206424968157,171.85180111366586
Nested Sequence 11.mp4,6.600278174427447,26.962558907465024,158.88601493377922,170.7866916866999,95.62037533050021,85.02640033303221,171.05918350256874,176.3231668761735
Nested Sequence 11.mp4,7.282573543774269,26.66640824111288,157.8878022467299,170.03431652773793,100.27329432094359,85.39139063377898,168.45504815084573,178.0790627325294
Nested Sequence 11.mp4,8.397904885745314,26.302815448272764,154.671442008768,167.76066182554882,99.25384424497456,87.8093083790255,167.04726470239217,175.89772274171213
Nested Sequence 11.mp4,8.05189570987891,26.39641622297005,151.1736553929452,165.356527342827,106.45627535160702,87.84969473210948,160.4332263381588,177.31243367748658
Nested Sequence 11.mp4,8.0263521366229,26.830225540013235,149.42103504066444,162.91826249987218,108.60279771704617,79.14829347556977,159.46019434444364,166.99217546051318
Nested Sequence 11.mp4,8.682889349153449,27.250185521953366,144.77716335589756,151.66441285873924,109.104569972451,79.61250970422073,157.88042021358726,167.33238733163634
Nested Sequence 11.mp4,8.670767169413441,27.318596210816185,139.99966909520944,146.21134800579966,108.19509088921643,81.62823993445632,165.4575153458106,171.02390180608333
Nested Sequence 11.mp4,8.428856851781605,27.38149599908287,135.86681180386574,140.81758273748025,111.38256451454951,81.4723310627128,157.67357621261036,170.74284605183155
Nested Sequence 11.mp4,7.207005147343317,26.997297078013776,130.85022288456113,135.7759386939511,109.59589734386029,83.84591750494563,160.19217696751238,171.60879682332754
Nested Sequence 11.mp4,6.657766823199612,25.78152978873703,127.88038361873785,129.31416565838248,107.55761910128501,84.81278252958475,161.11551352879857,169.6699740356971
Nested Sequence 11.mp4,6.725314038301317,25.733907756530904,123.5463086565655,121.68809534631964,106.97819921082608,85.30245196388495,155.52054713252414,168.96682210460003
