Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
Nested Sequence 32.mp4,12.488744057390088,8.018530343781167,168.2554211473313,176.5096624243118,100.97336296459541,92.40879006442557,158.36417379785016,174.54545039458003
Nested Sequence 32.mp4,12.7030844862301,8.70775269044099,168.48614179500788,175.01547794710308,100.26423956209418,92.51747326420767,153.991803503316,174.50738184272913
Nested Sequence 32.mp4,13.095862935997955,8.618925287645164,169.06187003794113,174.79249355407984,101.26372912713498,92.91997375590718,158.0859827116273,176.53168231246354
Nested Sequence 32.mp4,13.446102411290182,8.701749437521187,169.38839625827723,174.51839394026644,101.29158170582382,92.80715796096212,157.84486175783903,175.4190803627961
Nested Sequence 32.mp4,13.79835323208399,8.722334733500535,169.72297539248635,174.16694142212154,102.18604412711949,93.11939118577568,157.44396512270941,172.22579609342714
Nested Sequence 32.mp4,14.113037583353382,8.864510010310982,170.25793224572433,173.52855286211155,102.99196704570167,93.39813508922536,156.53306220014014,165.54301576087292
Nested Sequence 32.mp4,14.261392499744627,8.926382892013836,170.69980880150254,172.02180132480242,104.47687153780439,93.5899988632014,163.12752018310871,165.61876879982174
Nested Sequence 32.mp4,14.202347668804608,9.18085061909057,171.19271281681324,168.74233293604766,106.5061144908274,93.681964053894,164.8935501767335,166.2077846460011
Nested Sequence 32.mp4,14.006838119902062,9.784071103976867,170.35729831725376,166.68904552411843,107.28776901588893,93.97415775512079,168.4535949448668,167.94925851304805
Nested Sequence 32.mp4,13.99926486090937,10.257728768278119,169.28704031997052,166.03615198199057,108.70043309076175,93.70827268937104,167.92681258280385,171.7263384854323
Nested Sequence 32.mp4,14.424447297141471,9.329230966611266,166.0143200935119,165.73161421560943,110.44024172805204,92.84035518225048,167.2644775186251,169.1860393199055
Nested Sequence 32.mp4,15.75884899330608,7.465515413743951,166.63311850351792,166.83341805181453,112.00896315860268,92.93583658146355,169.47638987482858,160.68001774112173
Nested Sequence 32.mp4,15.077425691890282,4.606319325723002,166.2157731547384,168.60963719331457,109.70192349769336,94.34455698163282,178.7512704322296,160.2208925899422
Nested Sequence 32.mp4,14.972378763028603,2.1553749371561453,164.61060401455063,171.19780648040714,108.37671575939504,95.43212714580663,174.18729628796288,162.81276876004642
Nested Sequence 32.mp4,15.297109948004852,3.2581906114652828,163.0274960673274,174.19508299754258,107.99292334130735,94.98708503279599,170.35451930901874,168.18798465332938
Nested Sequence 32.mp4,17.471459669623997,10.484145115490966,162.19665549384302,175.3421845221728,123.54735667035078,89.67161437309844,154.86660756293546,159.9361524898406
Nested Sequence 32.mp4,21.09277009164123,10.68645974732635,161.97267428974104,175.4156051148176,114.5883349470317,93.71879486471146,161.6942313879329,175.7944379198634
Nested Sequence 32.mp4,23.849900692661812,8.988721809297973,160.43969414236676,168.87187086069417,113.7740513733163,95.64080398813017,158.66672916974932,174.8203247518002
Nested Sequence 32.mp4,28.807791710659455,9.249257407289834,160.49896707030328,164.43379535777828,134.23360840182895,96.53638603644674,138.15190405582317,174.65379207741853
Nested Sequence 32.mp4,36.137533953979116,10.914946231374282,164.9786429854959,161.8984479144654,142.26260020461604,98.02960657578359,140.1918517498159,172.58959472489377
Nested Sequence 32.mp4,40.991419061693655,13.171178008114603,169.32483210797955,158.98178901783447,149.5464424882584,103.6663169779268,141.93708886010054,178.92370662545804
