Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
Nested Sequence 01.mp4,9.388045660428306,17.042891828173758,170.1247284136143,167.98055414330963,98.33515508620613,82.76488122453591,162.0355735766937,166.54380613396393
Nested Sequence 01.mp4,4.726469618335394,17.35293599737127,164.5164160167734,168.10057565147625,93.06685851740501,83.0717712540689,168.69606399408391,159.82303520004976
Nested Sequence 01.mp4,2.582950158241402,18.02463590339272,162.84207736860387,168.27886496629952,92.82160725051193,83.67254805947285,167.24492429836064,158.66974946806235
Nested Sequence 01.mp4,2.077033662821765,18.55196710771359,162.60063962242057,167.92963653902527,93.1209231868608,83.90681280121422,166.55379553059996,157.9302138119286
Nested Sequence 01.mp4,2.1925036410523377,18.67074604317311,161.84778843824995,168.05615372261914,93.41714194628123,83.84773677213512,166.60780550425977,157.86329990097337
Nested Sequence 01.mp4,2.628896268463089,18.75428655173056,162.14555952577984,167.96179287178575,93.53396727005494,83.52382121109758,166.768729273911,157.54580926730608
Nested Sequence 01.mp4,2.934545543428024,18.89843448601833,162.36123115246622,167.78386096400118,93.69306017773039,82.83942407387543,166.32091904930957,156.22264331932925
Nested Sequence 01.mp4,3.2390002038675805,18.91782552258873,162.67312280931873,168.03189575362777,93.53559433407993,86.00611491880865,166.0445032915289,163.39370470883213
Nested Sequence 01.mp4,3.8885944113668613,19.281396868754385,164.19992804563606,167.90263733877586,93.28239140430873,86.18886478423971,165.79782566617985,166.19202661421804
Nested Sequence 01.mp4,4.401997280964974,19.72647541127553,164.97905556760793,169.69001624320376,92.16078156553249,87.16031528423352,167.14175245856833,167.27018184540717
Nested Sequence 01.mp4,7.733163900471024,19.871582927678343,161.92480341746474,172.96509664982923,93.20614630196224,87.97750746714534,165.11254380041476,169.28629238133513
Nested Sequence 01.mp4,11.178384835946384,19.91278986826249,162.18902728279642,176.94954264213405,93.25720173548336,87.8199887925255,161.43006094443857,168.11990536300038
Nested Sequence 01.mp4,13.902123632453868,23.037314521456604,162.39647841263746,178.75726760272485,94.70775937035576,87.43677611397595,159.68697230087884,169.3419274226626
Nested Sequence 01.mp4,14.825485984896252,29.76610872358157,161.5448518921542,175.8655180423554,95.5880691690572,87.79325396969227,157.99439268321973,168.5871429649377
Nested Sequence 01.mp4,15.166339936766505,35.71277587845971,156.72125612078196,169.99895187652152,94.9183252014209,88.66992425345701,155.81365244787386,148.2586582918025
Nested Sequence 01.mp4,17.507617367244027,41.879459820299545,154.8592177385584,167.12762903145736,94.7338264934982,88.75449931078484,157.38501845963276,153.51487526214115
