Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
Nested Sequence 11.mp4,89.93201678049252,121.36819065606227,75.500480753661,80.88803618317169,97.39307062256222,90.27853237422069,166.59300464382798,166.53929427770575
Nested Sequence 11.mp4,89.43029959101146,121.56004546183101,77.89443153738557,79.44211887331629,97.42526095872381,91.18127403993056,167.04577935197813,169.51451083316186
Nested Sequence 11.mp4,89.48339452664362,121.87452163848454,78.78623585141169,78.7399934905622,97.2347767335121,92.16419763696295,166.70152772548641,171.5710277781033
Nested Sequence 11.mp4,89.55275356218317,122.2476745155667,78.43776046763091,78.56984640772075,97.10980145451875,92.62081917465368,166.88945383706672,173.0464316989453
Nested Sequence 11.mp4,89.27752756693242,122.98773194851347,77.46498122993304,79.24028665192529,97.09850280212008,92.71872942793166,166.99080045974495,174.02462898579037
Nested Sequence 11.mp4,91.04206912155625,124.24280134729545,79.0670269731603,81.53858986182267,96.99511618281356,93.0904767155443,167.08584106026996,176.07987933312108
Nested Sequence 11.mp4,93.64804948338706,125.53852560441916,80.3038373808057,83.5608970518773,96.9679073173921,93.3120790707913,167.1123871567291,178.24735847102238
Nested Sequence 11.mp4,95.986365261247,127.70128025859088,82.26084743085619,87.84925294472552,96.31087931204858,93.15979547480754,167.68675181041328,179.09266368018606
Nested Sequence 11.mp4,99.9168189726922,131.7120508204111,85.14902373413582,99.8668563155725,96.53416032555295,92.97042828609318,168.27236614787418,179.73399751184587
Nested Sequence 11.mp4,103.84844531587974,135.7798875253288,85.95514822239363,109.35621612670325,96.63697973674704,91.93156625769353,168.59388647667308,179.23870933245587
Nested Sequence 11.mp4,108.50838121799937,142.1864580820095,87.90538303993236,131.2646994089083,96.91784071293063,91.08472702884202,169.42507404844756,178.9605509266313
Nested Sequence 11.mp4,114.17233765065761,145.23785564347713,91.23593959991825,133.09955230831125,97.30094001953756,90.7353318184132,170.65424958215738,178.73557440904094
Nested Sequence 11.mp4,120.14043204259835,148.45205948571163,98.17117697093744,136.74781353119775,97.21186110201546,90.09409084174017,171.70116331763538,178.0825702682914
Nested Sequence 11.mp4,124.53326976722674,152.7933231976867,104.25660619490597,147.54601035237638,96.47133790394099,89.48464520575116,174.50577298590366,177.73232769387963
Nested Sequence 11.mp4,129.90192378962604,155.85459773271245,107.2875747320723,151.2173404101761,96.93648841564448,88.57810929526049,174.27261683929598,179.15859188014414
Nested Sequence 11.mp4,132.80268577160717,160.00822014858937,111.71624597134155,153.92360628699916,97.55928098814559,87.25178548507692,174.43107996645313,178.41522949387564
Nested Sequence 11.mp4,134.55084916627615,161.41925712228013,117.40303175086402,156.6488449291465,97.86117421254914,86.84827422778774,175.42649714901646,179.26807689859234
Nested Sequence 11.mp4,137.689781450502,168.6718662978762,121.44801584455661,160.68860320310532,96.90801920943682,86.792547502305,176.47367398128773,179.74307039986712
Nested Sequence 11.mp4,138.30721160313533,174.75069294738023,120.81191691356275,161.0265221428041,96.25753265117186,86.8936171190999,176.78669932249687,173.90654366185962
Nested Sequence 11.mp4,140.8076419557638,179.78295885082503,122.52548989831709,162.65625044664543,95.6295390074016,86.32797783995734,177.74397939712964,177.25121802907793
Nested Sequence 11.mp4,142.1646102731089,178.3108014228578,130.91846291215117,162.67572591811071,95.51887629534741,86.29384735174024,177.8946200681037,177.06189656050336
Nested Sequence 11.mp4,141.72210990698017,175.67051823052515,135.02745988930354,166.86804648331162,95.50915791431737,87.25445236710331,175.91949943807046,177.5553797923904
Nested Sequence 11.mp4,143.32247960528076,171.53769079534334,139.92396858354095,171.71421602760984,95.99751231728584,87.25446219941755,175.30786062104977,166.78211423336575
Nested Sequence 11.mp4,143.07723991265627,167.86256126921825,142.39553705241931,176.34041994973023,97.05568123478946,88.27898055258099,177.7066335313328,166.0588623171989
Nested Sequence 11.mp4,143.62016476551432,165.33602891527232,143.43384379476072,178.75939507878067,97.45222031355303,86.74091042857556,177.4040418267008,163.81034658115755
Nested Sequence 11.mp4,143.9099289178309,163.66809490891677,143.46805640882454,178.51433131946203,97.6643131213986,86.2082212770654,177.40693161646834,164.79270053638137
Nested Sequence 11.mp4,144.82191686156168,160.7008837777378,145.25466031455215,179.88045160840522,98.50735887536644,85.09996999291069,177.45667586557357,173.0031947011544
Nested Sequence 11.mp4,146.45386689165895,159.33314996378596,148.73273939426898,178.95131812227027,98.53396860445838,84.51691245715628,177.60143646146977,175.15264986921844
Nested Sequence 11.mp4,147.54051329092508,157.9257579615587,150.50035793910718,176.85954279405001,98.32563797696889,83.98785547442195,177.9616626809618,176.33105664606381
Nested Sequence 11.mp4,147.26227916961744,157.37103343313493,151.22605962646185,175.10960071165005,98.37606937278491,83.65015038721518,177.99584780578326,169.54739564244716
Nested Sequence 11.mp4,147.92112288405832,157.69382534680227,151.95482913993408,175.42228413233804,98.70629683278071,82.90154591217494,177.8534379885067,165.94961256117077
Nested Sequence 11.mp4,147.9661694452458,158.46189226313757,151.89370599978776,176.85726299219027,98.52575797796192,81.04475429518877,177.89852403025435,162.51830556088615
Nested Sequence 11.mp4,148.2377629729364,158.3057419970756,152.2693385413225,176.26772300120643,98.43938748384124,79.5198486697155,177.6679533611833,171.48182654218039
Nested Sequence 11.mp4,148.7828774393513,158.3739357137855,153.1243101790132,175.89869533008272,98.4026099625957,78.78532790528315,177.64722456888205,173.18042941431256
Nested Sequence 11.mp4,149.0498424708205,158.2995238417329,153.4624856959639,175.91014480107225,98.16557447259913,78.2995328328362,177.89805539082502,173.09682980443645
Nested Sequence 11.mp4,149.09190358706908,158.00449120893873,153.4168980918195,175.95579846442448,98.00697222259487,78.11510922415195,177.9457648535264,172.69185936045074
Nested Sequence 11.mp4,149.37937813453456,158.08694863225065,153.40191662617872,176.7152125189521,97.66244741300989,78.0795933687605,178.23683109474337,172.33573776662752
