Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
Nested Sequence 01.mp4,94.66489434058519,100.34415310136728,178.53926497842724,173.80059434708164,98.02710999097411,98.20210776036575,178.53773218877546,178.9218483479754
Nested Sequence 01.mp4,94.52992141329548,101.02282656115767,179.57702541429816,173.90613367319492,97.01867149991932,100.22338031985066,179.43043001169605,178.4522031778241
Nested Sequence 01.mp4,94.94252338329613,100.9618697301998,179.92195812340728,174.28830780774513,95.92717169133249,103.6386592945705,179.02304376827007,171.58317954277018
Nested Sequence 01.mp4,95.59714631074064,100.74364999275548,179.5876500083356,173.63179620546035,93.73373526957431,105.61535758998704,175.96499963024013,167.92822621837547
Nested Sequence 01.mp4,97.09356172104583,101.39836547048509,179.6036228384255,174.01692405528024,90.67240447731682,110.55488970901943,172.94078898535471,159.29356584094566
Nested Sequence 01.mp4,98.20144827650898,102.47655171529851,177.4367235581081,174.37989430035046,86.42248085366889,116.99719668243387,168.86189115813684,148.68390533537428
Nested Sequence 01.mp4,99.95842253485296,103.08705933638453,176.71818935608488,174.10976700108876,83.75936203784285,121.69169140623369,166.73158181733763,140.8038687714953
Nested Sequence 01.mp4,98.66251328977455,102.35132670011967,173.3237455400755,172.8762015561575,83.82796594233021,126.93421104877966,165.1841927335705,127.54235594528744
Nested Sequence 01.mp4,100.69891194267609,102.32681675153657,175.65885553583666,173.05529106751908,83.05334059762423,132.40289976930197,164.2532525027376,116.21374011704673
Nested Sequence 01.mp4,98.45977824425063,104.26809652959858,172.85331420524972,176.39799740988897,80.00438212152226,137.4246378253882,159.87979084837696,107.65363252360544
Nested Sequence 01.mp4,94.38132124420298,104.06673691677378,168.32274731704427,175.27517381297295,77.8436159049084,141.93995021927503,154.6203769865749,100.52473028178153
Nested Sequence 01.mp4,97.47787483799692,105.0465348477849,171.83895281771603,175.36012386669543,75.50451545816564,145.30640727464237,152.38587699174255,95.9741073580922
Nested Sequence 01.mp4,100.84353028350063,105.57397860052512,172.58595828681712,177.00184890367106,71.18049444672769,149.36056389138417,145.26126636147697,89.6735124410256
Nested Sequence 01.mp4,106.13861705446766,107.85482404732349,179.10574388066397,179.22131974029347,66.51883404420828,152.0724387024571,137.59555557428715,85.46269812747445
Nested Sequence 01.mp4,107.89416950255526,109.37788789278378,179.38278042767118,179.05949349412333,62.130757709598996,155.64683213322348,132.2936427810813,79.44569632609006
Nested Sequence 01.mp4,108.51283921767765,111.06046763923399,177.3774172404234,178.8156119395166,58.497652778665326,158.18690122118127,128.00640044689763,75.78467476922447
Nested Sequence 01.mp4,108.62827383056128,114.86232489259865,176.65371089813036,179.72322141816497,54.24238334335081,160.5084952189314,123.19704088572306,73.34424858733789
Nested Sequence 01.mp4,110.14609175059891,117.20071438285458,176.73855353997936,179.05777250235536,49.72454185189565,162.80869526405291,117.0233315365506,69.64079234838056
Nested Sequence 01.mp4,108.50315197923373,118.708579475743,173.8256132626738,178.15928407491927,43.582639539549064,166.20286604686922,109.26302907339742,68.01408859814103
Nested Sequence 01.mp4,107.31620652821798,120.1366268252763,172.98721011564393,176.08555119765415,35.347202836337146,169.78836640580846,99.18358674880183,64.63915626103378
Nested Sequence 01.mp4,108.71549879637286,120.90225648789405,174.28805444348475,175.9511475047051,25.335795544254495,173.82792118476428,88.47257700737204,61.34286229535058
Nested Sequence 01.mp4,107.27236133124825,121.74949677877521,172.49796985473492,176.83463676063738,18.742879512223,176.34424187439785,80.71196026302444,58.11870657245531
Nested Sequence 01.mp4,107.18322648971818,121.55817831805689,172.170338213977,178.68737245601707,11.601210982536827,179.99604024987156,73.19790364383958,54.63630896254344
Nested Sequence 01.mp4,107.55856484660163,120.49513272328008,172.81486539159215,179.92241041264614,8.878170231819581,179.05792174795684,67.57573097812931,53.632759332415546
Nested Sequence 01.mp4,107.8838873051252,121.04450072901446,173.04118658405292,179.85599016240113,4.14796119827929,179.01728882259223,62.93223898408616,51.94420462448462
Nested Sequence 01.mp4,108.1650876969936,121.03203769718485,174.2471565690315,179.31940845987882,3.8823481468122054,179.86288841551269,62.311602104353035,51.77474152374328
Nested Sequence 01.mp4,107.64297706791922,122.0252417774912,175.13992183875797,178.90226580047215,0.9285913661242539,177.84170239502856,60.44634135358686,50.37708955162595
Nested Sequence 01.mp4,107.2151788420656,122.51303087348742,172.26256774105184,177.52308076786284,3.234216060988008,175.17498480138718,57.15596316717019,48.01513751590718
Nested Sequence 01.mp4,105.65356393308488,121.94005677840781,172.51258713487965,177.24371454767504,5.947987815397573,173.37742639630787,55.2758873235067,46.51480568347487
Nested Sequence 01.mp4,103.48995983693527,121.35924417666664,170.78802304536015,176.64053055497365,9.456980891739153,172.73339435910992,52.621504919269185,45.52525265635294
Nested Sequence 01.mp4,101.5904490820194,121.37185432417178,170.760275912648,176.00927859113347,11.71672595143717,172.69468645089725,50.645103504768755,44.497304474598764
Nested Sequence 01.mp4,101.04905604590613,120.37806071156962,170.609452340574,176.07038405709457,16.011242215498427,169.93939474322343,49.32650481662839,42.95731872082027
Nested Sequence 01.mp4,100.96559372297622,120.10201368888153,170.04163179358864,175.66685475126053,18.084512253982634,170.0628000769915,46.5274028030767,41.91258269127667
