Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
Nested Sequence 01.mp4,38.93373756261627,9.706522237168818,163.0460093418385,166.64347331767001,88.88270500347119,82.42630847053408,150.86326216575355,170.05347671949136
Nested Sequence 01.mp4,38.29504607974881,7.823574124998159,162.73055046832908,167.28422986235415,87.9516472485093,87.79288406861298,154.3884896567416,160.1970979278928
Nested Sequence 01.mp4,37.538143353874204,7.536272961137232,162.41361669328757,168.2314597759153,87.65660689392409,87.09529396545236,155.0880340325758,160.3029909123013
Nested Sequence 01.mp4,36.55138183606411,7.082053687084458,162.72719061879613,167.44029579339664,91.23477447142648,90.87942102714266,166.0047490643647,155.72956890380087
Nested Sequence 01.mp4,35.69937031861995,6.8678974311768926,162.61692019773977,167.70887549215976,89.27604664658695,91.04588742409919,163.36505123932898,155.33456670128885
Nested Sequence 01.mp4,34.591117585016434,11.667504842607498,162.72832609715766,169.53860458724668,91.59200998173509,90.88018022645231,171.73832741121976,157.0848849159547
Nested Sequence 01.mp4,33.813753140038834,13.317852654390185,161.45326390204778,167.94991121007027,90.54833808782315,90.47801550781556,170.96477933008947,158.22434784886246
Nested Sequence 01.mp4,33.174267472901015,14.99195432598459,159.80611583818575,165.83700192211435,88.06394250357924,90.61249475292057,167.67172937901134,160.6113900356451
Nested Sequence 01.mp4,31.760081916231112,18.182943716504795,158.27394165874205,168.12168491404668,88.01233621982284,86.53369203480854,167.72484304014534,170.43396465302015
Nested Sequence 01.mp4,31.328542263722543,19.05260013636142,153.78624026659358,164.52574347978253,87.10320243985709,85.63759065451693,167.72674651620514,175.38760214359468
Nested Sequence 01.mp4,29.768773197164023,20.85360533297716,150.62541780784937,159.1703461257934,85.73752583597893,84.76475829218305,163.2726147230284,179.9762984933519
Nested Sequence 01.mp4,27.023581678830098,22.259175883847035,147.87881463271168,152.61905972239205,84.81372463023737,84.9206218995125,158.31517078542979,178.9720549367856
Nested Sequence 01.mp4,24.287867011047506,25.208450957847692,143.7486337397319,148.0613908576702,86.23397017249928,81.59129135034021,160.531438674317,179.86985520618117
