Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
Nested Sequence 22.mp4,4.197382926628727,24.95575722671839,173.592855606388,174.97815021903307,90.09167833859873,102.98812167914242,151.7941175168035,147.69514153116248
Nested Sequence 22.mp4,3.8867670940437247,23.740975082153945,173.1198634395483,177.43629209331644,91.62395865864639,100.28003246945092,159.95382209676876,146.63588472502502
Nested Sequence 22.mp4,3.610401410110733,22.668609151014948,172.3959261987894,179.43241206175327,92.89121872953656,91.3626655057245,165.70131624957835,164.3923664103142
Nested Sequence 22.mp4,3.6755139906716465,21.820290850538377,170.71970582011772,179.150737153736,92.68542094037122,89.2047175588847,166.91721627750348,168.70421382575574
Nested Sequence 22.mp4,1.4721156337157768,20.428453892524217,173.16031644018855,176.05772276640954,92.56842601387604,91.74796349265641,167.83421951147778,163.75659673853932
Nested Sequence 22.mp4,1.8720180586487674,20.598166842836932,176.4232458482371,174.54643519847255,92.26785470852936,98.14057378311877,167.23318839870473,151.72682543158237
Nested Sequence 22.mp4,4.895253995085458,21.253245233671148,179.36041045327127,173.96697299876155,93.44352804990984,100.04093286020736,168.05340825705673,148.14031392386812
Nested Sequence 22.mp4,4.220661897263429,24.42684261847168,178.87508566535396,174.6756691355979,90.35143734690155,90.51621759205874,160.63569637074053,164.24804361551304
Nested Sequence 22.mp4,3.91311756435431,27.010977417504677,177.0582338226671,171.7678022713062,91.90826902903001,88.70479654056355,166.63847157615209,166.95479442455894
Nested Sequence 22.mp4,3.5528040909546164,28.293992081627273,173.78183776475166,172.15151308012832,97.59742027235136,82.508346182199,169.17210253537715,170.30826913213457
Nested Sequence 22.mp4,4.331531722208127,31.471923320798044,170.47247314226792,175.8762438906188,98.42460504623904,89.24519871553603,169.26399179617295,157.1445393861943
Nested Sequence 22.mp4,4.116042812109712,36.74320585514423,164.6980997205509,174.58345889330405,100.04936976001699,86.20344710242357,166.25988764991405,155.9298819802459
Nested Sequence 22.mp4,7.540239883014755,41.06742591641527,162.44636774252737,176.43729124079064,103.0802153388106,95.69868678409605,166.3515666830391,141.7147340469992
Nested Sequence 22.mp4,11.480334401352893,48.50979146457408,159.37446659168722,177.90005997636052,101.5662249322503,96.0838144938378,165.79962442379073,147.3551200913331
Nested Sequence 22.mp4,17.904333608214497,55.29478834238254,153.66832580145382,179.54738909484777,100.10281178853222,94.60092089591849,160.7709531814124,148.7788378949751
Nested Sequence 22.mp4,24.791547891830046,64.23765571987998,151.81520180221472,176.4671316732974,97.31632906244386,101.35751551660107,153.6976306447077,142.16457244768412
Nested Sequence 22.mp4,33.09858152390171,71.31809691902774,156.29880753712544,174.41761917133556,97.51858146687971,97.27279472643525,156.34479781411366,144.71122278689234
Nested Sequence 22.mp4,43.08015653589566,74.80007761706965,161.53896596973235,172.0528375193834,106.30217663167235,129.61010411374338,165.48541630638877,157.125235115675
Nested Sequence 22.mp4,55.42328864374783,77.48457158614575,169.66420878348453,171.27972230129592,107.43632804480323,100.93053452721443,170.7864484166875,157.2523768763237
Nested Sequence 22.mp4,62.86850971289873,81.01047389822035,173.02196198633314,171.43325578843897,106.593766068375,99.92559496359713,169.91008867646417,148.34612003498597
Nested Sequence 22.mp4,71.05494210025334,81.879185229117,175.8151687389117,169.68711933924814,104.94983745352135,98.94408380815698,167.64940652062623,155.45546843922412
Nested Sequence 22.mp4,75.07809133744757,81.52372615597902,176.7641232865279,167.3639669363574,103.76781102694959,98.1093207346361,166.92784214376667,165.48459092543996
Nested Sequence 22.mp4,75.11691369132764,83.57591809130832,171.6609511172245,160.51018896288278,103.20949559609332,96.61138211979812,164.6739895678308,169.84873487703464
Nested Sequence 22.mp4,87.33632493319598,83.90686768573632,171.13029235501608,168.31621577634348,102.66917377945047,93.70624794061509,164.15616134941234,163.63231948529824
Nested Sequence 22.mp4,85.32569495355644,89.79046058120208,179.67800230758309,174.05987289363404,102.48140901061362,93.14367907012056,164.46077218482412,168.24922730557492
Nested Sequence 22.mp4,94.50951073703823,97.6935591794663,168.14436179049179,175.63080823421018,102.19869327001695,93.07552228546909,166.4388150001186,163.9166507923162
Nested Sequence 22.mp4,101.53453867946416,99.95539384331882,166.0042501376939,173.9710208476736,103.38403247664829,92.73474121280356,168.68373753735546,164.4907648017919
Nested Sequence 22.mp4,105.93643286847791,101.41139582979413,163.211764869176,174.608761742446,105.6449628578586,92.20430710622217,172.4862322564104,170.49344963153635
Nested Sequence 22.mp4,108.8680287389698,101.37192220045134,162.22618134893793,172.3160022277094,106.67547160061845,92.02700543885884,173.77414235884925,169.72784081901668
Nested Sequence 22.mp4,110.08815411121213,103.07870998127389,162.96199300197532,173.07644258182273,109.80467972020165,89.46792259526376,174.44739615574684,168.12298136031012
Nested Sequence 22.mp4,109.77541724040293,105.15648797952545,164.52616301814717,174.43133535862273,110.66066437840104,89.02649900707513,174.7601383662524,164.65002103775578
