Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
Nested Sequence 01.mp4,98.28489886027808,71.52462829170106,58.89663775023762,63.45644925015975,90.85988836666152,90.0113518164891,167.26256370841676,156.80400434719908
Nested Sequence 01.mp4,96.64672559190856,75.27598052250356,57.393892882977205,65.81053743198675,91.47854850878478,89.92397310882858,171.89294964098897,159.98030258657974
Nested Sequence 01.mp4,95.89042512064998,76.80691750067678,56.88177871445126,66.30348497738505,91.19222375430607,90.17057149315612,173.1359666663079,161.53267818252965
Nested Sequence 01.mp4,96.47335269889899,77.59097091545185,57.03754020255282,66.4046743557558,91.13127158257952,90.00357150684012,173.2044037056572,162.4994105701352
Nested Sequence 01.mp4,98.05986663767838,78.65690719532452,57.5832039328448,66.74726370106217,91.29924534880132,90.00463974452657,173.4227527697614,162.73607039030423
Nested Sequence 01.mp4,100.44825247601838,78.97485991978397,58.66255815228283,66.11916776819955,91.61542095710841,89.94445185583122,173.54100036144462,162.91974819267057
Nested Sequence 01.mp4,103.58201534424651,80.47915118509532,59.68578791496685,66.78635523385799,92.01348071671455,90.06663957695739,173.6507659949677,162.7392101302802
Nested Sequence 01.mp4,108.32324337838395,82.27671178342868,60.871436865844885,68.48594427558125,92.2660567716238,90.07751897481761,173.95133974400866,162.86874762732086
Nested Sequence 01.mp4,112.62240839792756,84.26199335530083,62.488865234882894,71.61293410223873,93.08413053805896,89.9398332545439,175.96298199509482,161.84495634151128
Nested Sequence 01.mp4,116.33623283929875,85.54928552673293,64.0275128397908,72.05589303082357,93.34241811550481,89.49354505507864,175.9783913304313,166.16280749489368
Nested Sequence 01.mp4,120.51795069170359,88.36904275998373,66.87425615884206,73.28848170561831,94.46045312692497,88.7165917308463,174.79341459705884,166.9717405208256
Nested Sequence 01.mp4,125.25570185394966,92.6315991910876,72.38496763167984,76.63190070554538,94.92360568751829,87.29202812918804,175.54473918351226,169.2857263465027
Nested Sequence 01.mp4,131.01634902035798,93.94750059170904,77.66070597792145,82.11403351506708,95.38514126657503,86.52945368992268,177.2827402635319,169.07291163701248
Nested Sequence 01.mp4,137.26662595658257,102.06127888891973,85.00729259107322,89.23851241952495,93.35749097959236,86.86905012319576,173.59300845586714,168.50504633837372
Nested Sequence 01.mp4,143.3825355130373,108.37783060384851,91.6482209467045,95.29503375829175,92.81559662407068,86.94113316684373,175.02136017801374,168.4029184720521
Nested Sequence 01.mp4,149.24797147995525,108.88428420886453,96.33691528466579,99.97987139914189,92.93550726201765,88.2870229790885,175.93921301539484,166.398194291006
Nested Sequence 01.mp4,154.75783831824995,111.35787273653375,102.59336714759604,103.02605747892818,92.33894260908251,88.35131822884203,175.54178974037754,166.21625322282566
Nested Sequence 01.mp4,160.0779292643613,117.23585099308562,110.22834092617546,107.50899988560815,90.66984164607588,89.980322104078,164.96532863587356,165.45081618727284
Nested Sequence 01.mp4,164.95102478735436,123.15145084301045,117.73595640570844,112.65501965626537,89.28266218552021,90.91066995780895,164.43280487113154,164.96992559528582
Nested Sequence 01.mp4,168.5932438564851,129.8262294826348,123.10050061180786,117.92605153821751,87.95604202724925,90.90072919827045,166.86798432312116,164.5916485352451
Nested Sequence 01.mp4,171.3560575253727,133.16343726950092,129.1960948980842,121.80528010002335,87.47881821358061,90.9628505598976,167.8456625543632,164.01186702412133
Nested Sequence 01.mp4,174.51864003085683,137.88641991208584,133.59838785369098,126.74557219281121,87.23626721311996,90.64957153533511,167.05508710636028,163.2273356882403
Nested Sequence 01.mp4,179.39940991722906,143.81318128273782,141.01635826279264,135.6987131020115,87.7288029453216,89.37618287605325,167.1385949937408,163.3632808305772
Nested Sequence 01.mp4,177.8275159614498,149.84718971990375,145.95164823960425,138.85331961417933,85.35753435766237,89.84593417538015,162.9972386486557,163.02814742502343
Nested Sequence 01.mp4,175.70296787753702,152.98944561301113,151.11702986714934,143.61244433875945,82.73585111965092,90.19897816581961,159.2269914360846,164.67502742021335
Nested Sequence 01.mp4,171.32959002553963,155.97279674860795,158.11440956418372,148.64965695158753,89.51947483348417,90.13539338113576,173.53574295531055,164.83476951066038
Nested Sequence 01.mp4,167.02042189431015,158.03875535981635,166.75525868235803,153.97196911146742,90.77546971119723,90.25770475745736,175.91061106889114,165.1600277738028
Nested Sequence 01.mp4,164.6911634382814,161.66898657626157,171.36164484079242,161.63493046861373,90.46285339149317,90.54720901852205,176.93208755017176,165.342060391498
Nested Sequence 01.mp4,162.47876925606127,163.049016009231,174.4288078741266,165.3721326807201,91.87975069123313,90.3431505178025,179.39901938016365,166.48536173080942
Nested Sequence 01.mp4,161.12617903796612,163.3101770892191,178.78881572670392,167.15499042637404,92.78653014823493,90.36284394343147,178.0539850094889,166.69286835188825
Nested Sequence 01.mp4,161.47688393211808,164.30971799336783,179.6808636079413,169.9887178719511,94.18244515918647,90.08518930139896,176.54881825659058,166.60987451620542
Nested Sequence 01.mp4,161.09970723991177,166.63549055119927,176.19440226373717,173.77907035565926,94.43105966688843,90.03236244116886,176.38738592287285,166.12833914620364
Nested Sequence 01.mp4,160.18172900312598,167.91160587195066,171.84153701591427,176.36058946881923,95.37743722529964,89.6704665050394,175.36897463598356,165.98056344504144
Nested Sequence 01.mp4,160.64731660148274,169.72236974571425,166.9306200689198,177.6156962354825,96.65010200807262,86.37527053438427,174.43454285578719,167.9357910316469
Nested Sequence 01.mp4,163.17579634912354,169.07030866351852,172.68785898487073,178.71944977525837,96.83519505231068,85.64428387613636,170.38361316304653,168.48500717627184
Nested Sequence 01.mp4,164.201434324069,169.3877408405973,174.6929945572393,179.59390958654092,96.3932647037774,85.3099042040537,171.75597105495768,167.51862865975716
Nested Sequence 01.mp4,164.52209592675703,169.5021229428715,175.0476833822892,179.63082474222338,96.80875790156796,85.74262687202183,170.01503276029442,166.57559751718293
Nested Sequence 01.mp4,165.22817839686434,169.1397628342355,176.74532947966452,179.35126994004398,96.61259272265055,86.37964768481899,170.1509697117231,166.34069273220481
Nested Sequence 01.mp4,164.30278693023428,171.12460015798405,174.99213665677755,179.24414708079055,93.89440681890042,86.60671767952489,176.85739114181268,164.15211187720243
Nested Sequence 01.mp4,164.70465900509882,170.98778562098246,175.99313166114086,179.5657516692237,91.4675344214583,86.66252877996105,178.5464479032669,164.13932971746829
Nested Sequence 01.mp4,165.40546002517866,171.0574367006034,176.18412255663725,178.7952557137077,90.67571935340966,86.4873054240729,177.47320167516938,163.6872419553494
Nested Sequence 01.mp4,167.72412773381785,169.09832668826783,177.89833907592273,179.2973370970854,90.31127151630086,86.08817707255085,177.71662892341166,164.24750798189112
Nested Sequence 01.mp4,168.07841633916104,168.02504634167877,177.6391149282162,179.44324172552393,91.78583282739886,86.1810931050372,178.2217800355436,163.77697990922098
Nested Sequence 01.mp4,167.68471543962573,167.8590064585934,176.17582016700237,178.71047134580536,92.26643719969397,86.06947700420633,177.18252884744106,163.12011557465212
Nested Sequence 01.mp4,167.53799925300908,167.0929942643661,176.07975202692944,179.42123824321803,93.20695866563914,86.11593907694794,175.20988058886132,162.28757091494995
Nested Sequence 01.mp4,167.82548018360558,167.01176861451992,175.976785806257,179.20611730191166,93.77002823486936,85.92431009596616,174.37752785253076,161.54151318277988
Nested Sequence 01.mp4,167.95065817133488,167.02181193263206,175.67066171256954,179.05210300565605,94.74721144515625,85.76746921322632,172.7609470621158,161.1998010490875
Nested Sequence 01.mp4,168.3551364615198,166.88191282552307,175.67332158266387,179.2494742082992,95.90656426945232,85.29661653671526,172.50317654247453,161.92628937786515
Nested Sequence 01.mp4,168.69398122060798,166.6712577755889,175.92119414184012,179.52431136345623,96.04985389961652,85.19436207950929,173.02461935671158,162.0601220186002
Nested Sequence 01.mp4,168.78420276940778,166.3666628088557,177.03091056429218,179.80281151421386,95.74798456568708,85.39083331439332,173.26295262562908,161.91916692999172
Nested Sequence 01.mp4,169.0284325559682,165.75273830159728,178.97720091883917,177.5409842507006,95.63109673810212,85.73880439356614,174.33966838892297,161.28809578808637
Nested Sequence 01.mp4,169.2521300680513,165.6073227524576,178.0662329872451,175.6079047302432,95.32744204668646,86.59096067789602,174.75351481738625,161.67251755633816
