Class,Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
0,11.74970864,34.78666421,76.31788289,2.898797672,98.26451549,100.5664006,171.1605048,166.8872699
0,12.03749143,34.95707566,76.71228941,3.550680272,97.73276771,100.6990769,172.7554808,166.4651398
0,12.27380217,34.82221769,77.31666635,3.858466982,97.72586256,100.9574705,173.3991411,165.7862377
0,12.63836946,34.67402354,77.78990575,3.49765424,97.32545241,101.1150574,173.9736143,165.6068126
0,13.06146304,34.9364696,78.27206044,4.349704956,96.75234917,101.4686418,175.1794094,164.8943619
0,13.93944993,35.2333918,78.77790558,5.639600797,96.13946269,101.6902328,175.7561373,164.9459916
0,14.75793853,35.40532043,79.07012841,5.842134324,95.50092066,101.9362451,176.5788787,164.3744768
0,14.88166987,35.63066941,79.0218259,6.675143812,94.85339959,101.8922526,178.0613753,163.6160515
0,14.9075173,35.70075131,79.01026304,8.510436232,94.32024786,102.189791,179.2537318,162.8082662
0,15.00610232,35.7002332,79.04139463,10.22702474,93.98063703,102.5150874,179.7864403,161.7421487
0,15.1737405,36.10312632,79.16667702,11.87844889,92.73458299,104.1644193,177.9263526,158.3825851
0,15.5534581,37.09102608,78.67561806,13.92423731,91.79469369,107.2711385,176.0967166,152.6467513
0,17.65272756,38.52181981,78.55397763,13.9507923,89.36243195,109.4734495,173.9284827,149.125989
0,18.21684569,40.03856739,78.71248733,13.64790729,87.02557718,112.5794866,171.3591364,144.6811073
0,20.19440608,41.657847,78.60160396,13.45649697,84.57326468,114.286959,168.558698,141.0196524
0,20.10341764,43.06318837,77.33782057,12.16096003,83.98854954,116.7144147,168.4836156,139.2951341
0,20.55228322,45.53677315,78.31120773,11.95338416,83.13940314,118.9637503,167.1036615,137.7934788
0,21.36811337,45.25525766,78.40240517,13.39225538,81.28845259,120.7794453,164.0247536,134.8446653
0,22.10396989,46.39571535,79.01818164,14.14376647,78.70324994,123.5983962,160.7569641,131.8450156
0,22.729369,46.65527869,78.85390332,14.19121713,75.83909926,126.0500596,156.9509638,129.7336458
0,23.14867109,47.15210404,78.76380106,15.67277575,74.20275327,128.6377043,155.3719862,126.5835907
0,23.25703776,47.47883444,78.73446979,12.82696637,72.56516029,130.4330391,154.1089308,124.8315363
0,24.77338773,49.74520257,80.21834413,13.32891722,69.96957428,132.3506947,151.0844673,123.0102991
0,27.23595139,52.46612511,80.9080569,16.75056758,67.20530836,133.8468326,147.4237469,121.2518164
0,30.11810534,52.88153521,80.99047751,17.11308407,62.27143385,136.3017119,140.6846873,117.5154268
0,31.86475549,55.41338615,80.13077544,20.45930832,60.58074874,139.7512209,137.8566708,112.2113018
0,35.66459756,57.83554728,79.71697711,24.0434774,57.13693557,142.3280919,132.0177927,107.5359547
0,39.7471508,64.64720244,82.17143672,26.71969473,52.72818148,145.9449952,125.8811483,102.4431242
0,43.71937102,69.00525258,84.16459395,27.15016132,47.75561469,149.4291591,120.4786701,97.96747445
0,43.17823766,69.37937528,82.6270855,23.18793103,44.64915853,151.9609937,116.9477312,94.87187827
0,43.57176575,70.92875362,82.17790321,19.81399315,41.71498286,154.5873524,112.3313204,90.65240824
0,43.17887936,73.18303309,80.73631367,19.36424972,40.53361373,156.3312744,110.3005486,87.52171314
0,44.97069453,74.27966449,81.59432584,18.44514979,40.59889753,156.8062811,109.6257687,86.06815126
0,45.16686629,76.02346843,81.11406305,18.10468063,41.18676184,156.656288,108.8210285,85.04151168
0,47.0691506,77.09814641,82.25025462,21.67540935,39.84433667,158.5211176,108.3549381,85.00064317
0,47.38913512,78.79166445,82.47751479,23.94514286,39.58515147,159.3824197,108.1547931,82.93567841
0,47.89420644,77.74075511,82.82596589,24.83225809,37.15197719,161.9920032,106.2710568,81.26327321
0,47.93025473,77.79249092,82.60611516,22.41290961,36.02098532,163.2740412,106.1690126,79.45471542
0,47.736802,78.23978766,82.87722597,23.80252847,32.5201865,164.984712,101.8599914,76.35326452
0,48.22998575,81.38936326,82.93826407,22.88766801,29.80647615,166.030605,99.45496554,73.91981613
0,48.15246544,82.36891797,82.58674609,21.8251241,29.11511017,165.1665878,98.06357931,74.17410944
0,48.18712275,81.76636368,83.22141993,19.87546553,27.05650738,167.1731414,95.48409147,71.04311508
0,48.26590632,82.92465338,82.70261752,19.03469463,23.95706603,168.8483803,91.96726656,69.39703495
0,48.70865041,83.08307297,83.33127249,17.3459363,22.46839204,169.7607012,89.70565585,67.4913602
0,48.95742568,82.99992298,82.62418174,15.96198037,19.51609554,171.8582429,86.01489369,64.90526341
0,49.95475076,83.42935693,82.88980375,15.92785466,16.37140671,174.4099791,82.78419016,62.1380081
0,50.90808934,86.23936167,83.06478645,17.37802595,15.29965279,174.6005078,81.23467771,60.20753556
0,52.04006954,86.70060409,82.88105882,16.88749582,13.89463492,175.7757958,80.41623621,58.5027475
0,53.93152948,87.9968752,83.56953372,17.44873106,12.25073957,177.5920878,80.10460484,57.20149628
0,54.13864988,88.2415614,83.17607526,16.16674425,10.78395921,179.0736743,79.16450534,56.35057203
0,54.50896767,89.18424186,83.39196353,15.73062289,10.24142943,179.158602,78.68532597,55.68112952
0,54.79704065,89.83382606,83.44412138,15.5454396,9.246766437,179.7306554,78.00453761,54.86577307
0,54.98644399,89.49432054,82.64085602,14.61769357,8.912501774,179.8632491,77.64732625,54.35631262
0,55.53497552,89.94498669,83.34441616,14.62121359,7.260047838,178.5508489,76.83478255,53.64616806
0,55.56273215,90.07444779,83.11151704,14.16633065,6.151131958,178.3161398,75.55885566,52.60843073
0,55.75034663,90.40568352,82.72897551,14.44025506,4.671226611,177.7196647,73.91456199,51.62607622
0,55.79772522,90.99290016,82.91542247,15.18925335,2.680497451,176.8610491,71.89564829,50.02211702
0,54.25912225,91.59365419,82.61037065,14.98268379,1.316565113,176.0497999,70.57779114,48.46456976
0,54.10171232,92.07255767,82.37096611,14.90123061,0.882113936,175.4959024,70.66355181,48.07502162
0,53.84087651,92.45293532,82.02376305,14.82416737,0.781642143,175.6845898,70.00614539,47.83331986
0,53.13533058,92.58488781,81.43405922,15.07808251,0.17082319,175.6152424,68.84767158,47.48079197
0,52.29504443,92.73417792,81.40411518,15.15329108,1.149766952,174.9103779,67.62006231,46.82020514
0,51.55287421,92.9382847,80.50794183,14.05116172,1.781479179,174.7438947,67.19289126,46.07889278
0,50.87618286,93.38532355,80.0404777,13.25938563,1.715290118,174.740449,67.37826931,46.05204301
0,50.5517477,93.52881418,79.74337931,12.55948402,2.51236515,174.1929619,66.57544293,45.3676878
0,50.31893201,93.86691021,80.16179885,11.39421901,2.296924163,174.3821198,66.98009278,45.42872424
0,50.09510176,93.14741779,80.95877708,10.4293929,2.272375155,173.6913271,67.05591649,46.57277359
0,50.28618705,92.86949735,81.75028797,9.740724493,2.759394982,172.7359189,67.60576479,47.62103185
0,50.06609811,93.01828309,81.24203505,9.380515875,4.64224267,172.7619124,65.76529886,47.58364738
0,50.05364248,93.08460165,80.94913448,9.241507497,5.351446751,172.9514456,64.46050983,47.4326887
0,49.98036725,93.20475478,81.00299592,9.38463595,5.685517306,173.4292463,63.44461229,47.32704581
0,49.73578868,93.07896399,80.60638819,9.354139793,5.71038752,173.9137148,61.48732146,46.85597223
0,49.78576782,93.13658042,80.771707,9.272723817,5.721447343,174.0888639,60.80714125,46.79323855
0,49.69165708,93.24347544,80.82517181,9.146501525,5.743072179,174.0968342,60.76140562,47.05298823
0,49.44587293,92.8779277,80.78054983,9.005748899,5.749350062,174.3530445,59.60520476,47.26967091
0,49.0712755,92.4146796,80.99121971,8.918512839,6.007037179,174.6564399,58.59279018,46.66422377
