Class,Sequence,distance_11_13,distance_12_14,distance_23_11,distance_24_12,distance_25_23,distance_26_24,distance_27_25,distance_28_26,distance_11_12,distance_13_14,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle
0,0,0.107701873,0.096925379,0.184132635,0.174154531,0.145362476,0.141687724,0.136869985,0.130430688,0.156717517,0.166876404,173.5928556,174.9781502,4.197382927,24.95575723,170.4311899,154.2720125,151.7941175,147.6951415
0,0,0.10848001,0.096798095,0.187438117,0.17556857,0.150915308,0.144937923,0.129999374,0.131386315,0.156771869,0.16501195,173.1198634,177.4362921,3.886767094,23.74097508,169.8216444,156.5304075,159.9538221,146.6358847
0,0,0.109473512,0.097265874,0.189838473,0.177226845,0.150694602,0.141790618,0.126822835,0.124244971,0.157042164,0.164024942,172.3959262,179.4324121,3.61040141,22.66860915,169.2057124,165.39477,165.7013162,164.3923664
0,0,0.110282139,0.099018183,0.192887137,0.180450923,0.15068331,0.138521543,0.125483888,0.124105408,0.156608294,0.163079592,170.7197058,179.1507372,3.675513991,21.82029085,169.4016939,167.8802271,166.9172163,168.7042138
0,0,0.110945315,0.099411829,0.19552473,0.183107248,0.154848892,0.142881124,0.12648757,0.124044486,0.154068582,0.155560773,173.1603164,176.0577228,1.472115634,20.42845389,170.0018997,165.7546771,167.8342195,163.7565967
0,0,0.112392053,0.099891826,0.197575496,0.185501183,0.158096353,0.144053976,0.127612247,0.130386152,0.150997919,0.147497503,176.4232458,174.5464352,1.872018059,20.59816684,169.7187475,160.7138345,167.2331884,151.7268254
0,0,0.11353225,0.100672304,0.198679719,0.185435038,0.161193253,0.147018721,0.129722908,0.135575011,0.146870118,0.139218848,179.3604105,173.966973,4.895253995,21.25324523,168.316696,159.4804672,168.0534083,148.1403139
0,0,0.11379937,0.101798423,0.198973787,0.184885575,0.157865738,0.145946733,0.14316501,0.134358052,0.145712168,0.141026786,178.8750857,174.6756691,4.220661897,24.42684262,168.6319734,169.7388218,160.6356964,164.2480436
0,0,0.114489511,0.102734225,0.200846417,0.183881762,0.155806475,0.145836849,0.147454994,0.135894717,0.145126542,0.14213159,177.0582338,171.7678023,3.913117564,27.01097742,165.4141093,171.5032039,166.6384716,166.9547944
0,0,0.115213315,0.100815703,0.200865461,0.177521606,0.157036302,0.147238463,0.14677851,0.138744201,0.143701949,0.145119898,173.7818378,172.1515131,3.552804091,28.29399208,160.5701461,178.584654,169.1721025,170.3082691
0,0,0.112702723,0.101923911,0.1954105,0.168980617,0.145435691,0.133622308,0.155036448,0.148881525,0.143561413,0.152769927,170.4724731,175.8762439,4.331531722,31.47192332,160.0327359,173.4929782,169.2639918,157.1445394
0,0,0.1065852,0.106375834,0.188716486,0.160062177,0.144670525,0.131982051,0.150415376,0.147698705,0.143035824,0.165720733,164.6980997,174.5834589,4.116042812,36.74320586,158.1826417,177.2444854,166.2598876,155.929882
